01,https://www.irejournals.com/formatedpaper/1705135.pdf,
02,https://www.irejournals.com/formatedpaper/1704665.pdf,https://link.springer.com/article/10.1007/s12671-019-01248-x
03,https://library.eou.edu/wp-content/uploads/2023/06/a.figel-Meditation-Technique.docx-2.pdf,
04,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2022.747983/full,
05,https://www.mdpi.com/1660-4601/17/18/6450,
06,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2020.01767/full,https://www.sciencedirect.com/science/article/abs/pii/S0165032721000938
07,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257518,
08,https://www.mdpi.com/1660-4601/18/8/4033,
09,https://link.springer.com/article/10.1007/s12671-023-02296-0,
10,https://www.mdpi.com/2076-3425/10/9/608,
